Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,BAC,Finance,1,0.3190464860077934,0.0194965218484141,0.0406321891398349,-0.0788439283590421,0.0132716137322501,31.237779328300547,0.0114972476288081,0.0851258735170983,Final Score=0.319; ML Score=0.019; Momentum Score=0.041; 20D Return=-0.079; 60D Return=0.013; RSI=31.238; Volatility=0.011
2022-06-30,V,Finance,3,0.0074986552708918,0.0240125489897196,-0.0892804905924943,-0.0621159135954049,-0.1354615147071366,41.43759115171556,0.022412458799429,0.6290986449613838,Final Score=0.007; ML Score=0.024; Momentum Score=-0.089; 20D Return=-0.062; 60D Return=-0.135; RSI=41.438; Volatility=0.022
2022-07-29,BAC,Finance,1,1.1683609510755075,0.066625163481424,-0.1127999670203813,0.086090661251994,-0.0894155561356881,65.98639685274762,0.0217201233553704,0.1985240127935483,Final Score=1.168; ML Score=0.067; Momentum Score=-0.113; 20D Return=0.086; 60D Return=-0.089; RSI=65.986; Volatility=0.022
2022-07-29,JPM,Finance,2,0.0335255948306204,0.0276095816227126,-0.098377860274137,0.0244205664247834,-0.0623425038205884,56.133467303273456,0.0176248084525571,0.246485247669671,Final Score=0.034; ML Score=0.028; Momentum Score=-0.098; 20D Return=0.024; 60D Return=-0.062; RSI=56.133; Volatility=0.018
2022-07-29,GS,Finance,3,-0.0555044586558604,0.0072851976914247,0.0141558374045073,0.1224497575248766,0.0595246004205889,75.21002582990529,0.0205077135448016,0.1601032569890701,Final Score=-0.056; ML Score=0.007; Momentum Score=0.014; 20D Return=0.122; 60D Return=0.06; RSI=75.21; Volatility=0.021
2022-08-31,JPM,Finance,1,0.3772881877693732,0.0244755022996846,-0.0875930010721239,0.0010562692187072,-0.1233330216414166,33.55569082379007,0.016753854924044,-0.000660747854896,Final Score=0.377; ML Score=0.024; Momentum Score=-0.088; 20D Return=0.001; 60D Return=-0.123; RSI=33.556; Volatility=0.017
2022-08-31,V,Finance,2,0.3234023268942819,0.0215370036722935,-0.0338895171948294,-0.0468629567051612,-0.0668263152267721,30.821712996608525,0.0143479951942834,0.673982951355214,Final Score=0.323; ML Score=0.022; Momentum Score=-0.034; 20D Return=-0.047; 60D Return=-0.067; RSI=30.822; Volatility=0.014
2022-08-31,GS,Finance,3,0.250670133608093,0.0152767144273018,0.0099540082342209,-0.0015007352998425,0.0379395441377992,27.11295472331733,0.013012550149727,0.3593399989072829,Final Score=0.251; ML Score=0.015; Momentum Score=0.01; 20D Return=-0.002; 60D Return=0.038; RSI=27.113; Volatility=0.013
2022-09-30,MS,Finance,1,0.3732930088598182,0.0223027524511346,-0.0343744263769898,-0.0830915189144708,0.0262372298806301,22.316098178045536,0.0181600127090959,0.3730378264632512,Final Score=0.373; ML Score=0.022; Momentum Score=-0.034; 20D Return=-0.083; 60D Return=0.026; RSI=22.316; Volatility=0.018
2022-09-30,V,Finance,2,0.257260538448189,0.0356641983707961,-0.1282560486303497,-0.1123270396135324,-0.124013849984286,6.564752396991793,0.0134705822149272,0.0403176207002591,Final Score=0.257; ML Score=0.036; Momentum Score=-0.128; 20D Return=-0.112; 60D Return=-0.124; RSI=6.565; Volatility=0.013
2022-09-30,GS,Finance,3,0.1982097074323596,0.0222623796179545,-0.0651276709734374,-0.1212893919251312,-0.0185867990525855,19.787728411801524,0.0186004114684413,0.0207168013258753,Final Score=0.198; ML Score=0.022; Momentum Score=-0.065; 20D Return=-0.121; 60D Return=-0.019; RSI=19.788; Volatility=0.019
2022-10-31,GS,Finance,1,0.4606385916449476,0.0157169078838977,0.0916229467065073,0.1516296733899873,0.0294020854665408,85.65350772261824,0.0215039894788542,0.3260986226223838,Final Score=0.461; ML Score=0.016; Momentum Score=0.092; 20D Return=0.152; 60D Return=0.029; RSI=85.654; Volatility=0.022
2022-10-31,JPM,Finance,2,0.412289003276737,0.0141640838297938,0.0847897554797169,0.168476685518605,0.087422209143344,90.2151878795777,0.0257080915971449,0.1210590665711033,Final Score=0.412; ML Score=0.014; Momentum Score=0.085; 20D Return=0.168; 60D Return=0.087; RSI=90.215; Volatility=0.026
2022-10-31,BAC,Finance,3,0.315626098497708,0.0132058095175937,0.0571069841837447,0.1592152054887468,0.0612485832488056,85.1851883565676,0.02674323645951,0.0286299989576457,Final Score=0.316; ML Score=0.013; Momentum Score=0.057; 20D Return=0.159; 60D Return=0.061; RSI=85.185; Volatility=0.027
2022-11-30,GS,Finance,1,0.4005724694714033,0.0109761495505425,0.1715254866792203,0.1077801617174309,0.182731493909757,74.0873497331464,0.0132617028351018,0.696777148090904,Final Score=0.401; ML Score=0.011; Momentum Score=0.172; 20D Return=0.108; 60D Return=0.183; RSI=74.087; Volatility=0.013
2022-11-30,JPM,Finance,2,0.2528077166065412,0.0148375270319137,0.1195510211185252,0.078267649293833,0.2148759914808893,70.40618084931339,0.0141405413233851,0.8625414810795806,Final Score=0.253; ML Score=0.015; Momentum Score=0.12; 20D Return=0.078; 60D Return=0.215; RSI=70.406; Volatility=0.014
2022-11-30,MS,Finance,3,0.1306258147130949,0.0123160158646258,0.1073661124586528,0.1116817766100191,0.0932691495075486,78.39432416620541,0.0180549647865317,0.9823632492321608,Final Score=0.131; ML Score=0.012; Momentum Score=0.107; 20D Return=0.112; 60D Return=0.093; RSI=78.394; Volatility=0.018
2022-12-30,GS,Finance,1,1.1028462557710288,0.0376682310509358,0.0721959463526286,-0.105338560571521,0.1112621517243122,34.64535510872034,0.0128524390615561,-0.1901695979899497,Final Score=1.103; ML Score=0.038; Momentum Score=0.072; 20D Return=-0.105; 60D Return=0.111; RSI=34.645; Volatility=0.013
2022-12-30,JPM,Finance,2,0.3998662759236197,0.0167838189181837,0.1307071697436565,-0.0157075697545814,0.214784009828435,56.562918118898565,0.0111391278595802,0.4111188726234587,Final Score=0.4; ML Score=0.017; Momentum Score=0.131; 20D Return=-0.016; 60D Return=0.215; RSI=56.563; Volatility=0.011
2022-12-30,MS,Finance,3,-0.1321014467704099,0.0157318462979945,0.0292373906283474,-0.0858064877089633,0.02298154275885,36.01506697900358,0.0154549248687215,0.287113268047491,Final Score=-0.132; ML Score=0.016; Momentum Score=0.029; 20D Return=-0.086; 60D Return=0.023; RSI=36.015; Volatility=0.015
2023-01-31,JPM,Finance,1,0.2598181776734421,0.012171814068124,0.1156303757507975,0.0436987348518691,0.1023076740039123,53.3106160050932,0.012766325319552,0.3654763496946189,Final Score=0.26; ML Score=0.012; Momentum Score=0.116; 20D Return=0.044; 60D Return=0.102; RSI=53.311; Volatility=0.013
2023-01-31,V,Finance,2,0.2377101717424897,0.0133893343982252,0.102737142937543,0.1080574355054315,0.1456084110972213,69.5373386758821,0.0125235843949297,0.9893260999753408,Final Score=0.238; ML Score=0.013; Momentum Score=0.103; 20D Return=0.108; 60D Return=0.146; RSI=69.537; Volatility=0.013
2023-01-31,MS,Finance,3,0.2261485317455976,0.0097375959985855,0.1223582156008961,0.1447895280408975,0.1536090869097155,71.77629395495852,0.0171924948661051,0.2235055620858248,Final Score=0.226; ML Score=0.01; Momentum Score=0.122; 20D Return=0.145; 60D Return=0.154; RSI=71.776; Volatility=0.017
2023-02-28,GS,Finance,1,0.1361536115000252,0.0251135837578975,-0.0070156300087734,-0.016253560391314,-0.0893435207699329,27.524198197285557,0.013347809080169,0.7399380804953561,Final Score=0.136; ML Score=0.025; Momentum Score=-0.007; 20D Return=-0.016; 60D Return=-0.089; RSI=27.524; Volatility=0.013
2023-02-28,BAC,Finance,2,-0.0158827925546203,0.022412474753263,-0.0216314513063718,-0.0283286125102837,-0.0937912649980095,7.84981291060069,0.0090971294500379,0.0823923683119038,Final Score=-0.016; ML Score=0.022; Momentum Score=-0.022; 20D Return=-0.028; 60D Return=-0.094; RSI=7.85; Volatility=0.009
2023-02-28,MS,Finance,3,-0.0473581933357415,0.0149112402823719,0.0572068688977318,0.0056273543213769,0.0368539842744464,35.862794766336165,0.0087928021138164,0.1949158547387068,Final Score=-0.047; ML Score=0.015; Momentum Score=0.057; 20D Return=0.006; 60D Return=0.037; RSI=35.863; Volatility=0.009
2023-03-31,JPM,Finance,1,0.4978266144982493,0.0334307572203575,0.0548967352156813,-0.0929277861840728,-0.04450804448522,48.60616487636852,0.0249607296005537,0.0799772553091546,Final Score=0.498; ML Score=0.033; Momentum Score=0.055; 20D Return=-0.093; 60D Return=-0.045; RSI=48.606; Volatility=0.025
2023-03-31,MS,Finance,2,-0.2073172522972179,0.0159394494605804,0.0287753054886786,-0.1070883614686487,0.0132718004111684,49.61241395926075,0.0234526957340882,0.4931570119357269,Final Score=-0.207; ML Score=0.016; Momentum Score=0.029; 20D Return=-0.107; 60D Return=0.013; RSI=49.612; Volatility=0.023
2023-03-31,GS,Finance,3,-0.2706667412932743,0.0163620327923261,0.0026803968170763,-0.0839564571782627,-0.0592177915806595,58.71132012339058,0.0218469772748449,0.5663668200233469,Final Score=-0.271; ML Score=0.016; Momentum Score=0.003; 20D Return=-0.084; 60D Return=-0.059; RSI=58.711; Volatility=0.022
2023-04-28,MS,Finance,1,-0.0362345882355795,0.0230246079709182,0.0085361534508648,0.0448263916268925,-0.0837152563022729,73.48543692817088,0.0139537414221681,-0.0002038959816806,Final Score=-0.036; ML Score=0.023; Momentum Score=0.009; 20D Return=0.045; 60D Return=-0.084; RSI=73.485; Volatility=0.014
2023-04-28,BAC,Finance,2,-0.155621085781223,0.026605845570272,-0.1159544271761081,0.0346290274206646,-0.1848551731842911,61.0927218193841,0.0169113889395904,0.3790793131297243,Final Score=-0.156; ML Score=0.027; Momentum Score=-0.116; 20D Return=0.035; 60D Return=-0.185; RSI=61.093; Volatility=0.017
2023-04-28,V,Finance,3,-0.2436663386240234,0.0139491249238106,0.079115621778818,0.0466360635398592,0.0079255170178786,63.3361391712851,0.009420589844123,0.6312533318369293,Final Score=-0.244; ML Score=0.014; Momentum Score=0.079; 20D Return=0.047; 60D Return=0.008; RSI=63.336; Volatility=0.009
2023-05-31,MS,Finance,1,-0.2222982183256446,0.0294439263191876,-0.0857751504597493,-0.0524973778101065,-0.1689367308516577,43.24137891118485,0.0158775689668344,0.6265995099373809,Final Score=-0.222; ML Score=0.029; Momentum Score=-0.086; 20D Return=-0.052; 60D Return=-0.169; RSI=43.241; Volatility=0.016
2023-05-31,GS,Finance,2,-0.2555137781431163,0.0264322185862638,-0.0710039234854446,-0.0284068793215004,-0.092844125556184,51.43831817209357,0.0137073475794468,0.4700290203142199,Final Score=-0.256; ML Score=0.026; Momentum Score=-0.071; 20D Return=-0.028; 60D Return=-0.093; RSI=51.438; Volatility=0.014
2023-05-31,BAC,Finance,3,-0.3428362046179288,0.027203840344852,-0.117473121790674,-0.013139166686422,-0.1848049049240703,55.142254231232826,0.016968671261724,0.4802915379391481,Final Score=-0.343; ML Score=0.027; Momentum Score=-0.117; 20D Return=-0.013; 60D Return=-0.185; RSI=55.142; Volatility=0.017
2023-06-30,JPM,Finance,1,-0.2473273599477708,0.0136015367125126,0.0773354544408398,0.0571304005359984,0.1325339083876169,64.2444236632345,0.0115621291181809,-0.0784791742310285,Final Score=-0.247; ML Score=0.014; Momentum Score=0.077; 20D Return=0.057; 60D Return=0.133; RSI=64.244; Volatility=0.012
2023-06-30,V,Finance,2,-0.2942351136703733,0.0130010394741746,0.0595305389039546,0.0484768023290906,0.043134463267445,72.56808193036474,0.0110518297612248,-0.0336428380789166,Final Score=-0.294; ML Score=0.013; Momentum Score=0.06; 20D Return=0.048; 60D Return=0.043; RSI=72.568; Volatility=0.011
2023-06-30,MS,Finance,3,-0.450756736093772,0.0107809692910147,0.0047987048754096,0.0405751412627908,0.0068380315154619,46.51163860460287,0.0129716363672627,-0.3170793580764353,Final Score=-0.451; ML Score=0.011; Momentum Score=0.005; 20D Return=0.041; 60D Return=0.007; RSI=46.512; Volatility=0.013
2023-07-31,JPM,Finance,1,0.1794078941420874,0.0149768174988183,0.1052287288323486,0.0860836362919128,0.1616415037280125,78.06183801281155,0.0100098169400999,-0.0231881192469078,Final Score=0.179; ML Score=0.015; Momentum Score=0.105; 20D Return=0.086; 60D Return=0.162; RSI=78.062; Volatility=0.01
2023-07-31,V,Finance,2,-0.0065115616057334,0.0141563500566614,0.0265797938389584,0.0010527202480112,0.0519957528194965,43.240629663223814,0.0072836370859082,-0.2936363101195032,Final Score=-0.007; ML Score=0.014; Momentum Score=0.027; 20D Return=0.001; 60D Return=0.052; RSI=43.241; Volatility=0.007
2023-07-31,GS,Finance,3,-0.0987132648086286,0.0100618961336007,0.0301430024160407,0.1033359759697023,0.0828236778524835,80.64463880790412,0.014362503100788,-0.241818977782642,Final Score=-0.099; ML Score=0.01; Momentum Score=0.03; 20D Return=0.103; 60D Return=0.083; RSI=80.645; Volatility=0.014
2023-08-31,V,Finance,1,-0.0839308609329927,0.0172362088588032,0.080472701781652,0.0289830722405515,0.0765050887813869,62.02045561716451,0.0073758452053422,0.209761004088951,Final Score=-0.084; ML Score=0.017; Momentum Score=0.08; 20D Return=0.029; 60D Return=0.077; RSI=62.02; Volatility=0.007
2023-08-31,JPM,Finance,2,-0.1625564881735243,0.0191067389465463,0.0345213607783157,-0.0640870091544922,0.0501651046137086,24.400951319898624,0.0091222825497407,0.7418157488092014,Final Score=-0.163; ML Score=0.019; Momentum Score=0.035; 20D Return=-0.064; 60D Return=0.05; RSI=24.401; Volatility=0.009
2023-08-31,BAC,Finance,3,-0.3341288782445119,0.0203861266799747,-0.0414323047517954,-0.0872333583071925,-0.0191583809343959,20.227260609302576,0.0133936357000948,0.1161827467152585,Final Score=-0.334; ML Score=0.02; Momentum Score=-0.041; 20D Return=-0.087; 60D Return=-0.019; RSI=20.227; Volatility=0.013
2023-09-29,V,Finance,1,-0.0058184383848418,0.0201210212387311,-0.0215972786040581,-0.0637821500980939,-0.0371316568765474,21.249578764747056,0.0101303365411875,0.4379980494302908,Final Score=-0.006; ML Score=0.02; Momentum Score=-0.022; 20D Return=-0.064; 60D Return=-0.037; RSI=21.25; Volatility=0.01
