Date,Strategy_Drawdown,SPY_Drawdown
2023-08-03,-0.012112958834225251,-0.03798698370037157
2023-08-04,-0.02056890264640887,-0.042337917245785506
2023-08-07,-0.00895954720270864,-0.033978915826647915
2023-08-08,-0.013514743813209718,-0.03817978215332474
2023-08-09,-0.020656569266208513,-0.04460978324496889
2023-08-10,-0.02065116048963933,-0.04426691757327861
2023-08-11,-0.018175205858821708,-0.044824184334554484
2023-08-14,-0.010396442495695601,-0.039551583439406124
2023-08-15,-0.019910094147732482,-0.05073958217927488
2023-08-16,-0.02600044093240772,-0.0577055182750188
2023-08-17,-0.03415764264377197,-0.06488565230075616
2023-08-18,-0.03555541970874754,-0.06443572152400123
2023-08-21,-0.03197779762362085,-0.05834845066431915
2023-08-22,-0.038003118288099436,-0.060899187063664706
2023-08-23,-0.027053315891357732,-0.050439650901392796
2023-08-24,-0.03915053484173869,-0.06359978752215534
2023-08-25,-0.03466782205082941,-0.056998252014869966
2023-08-28,-0.031659107718644885,-0.051018317139708835
2023-08-29,-0.020176162793617558,-0.03730111691726257
2023-08-30,-0.018144123541314783,-0.03333591571748329
2023-08-31,-0.025508039722393683,-0.03475058367750905
2023-09-01,-0.02497006608155783,-0.03295004793212053
2023-09-05,-0.02448702584428286,-0.0371296502214854
2023-09-06,-0.0349908844386666,-0.04360245026720977
2023-09-07,-0.03537129251913085,-0.04653891901218998
2023-09-08,-0.03488914733818593,-0.04510271613539596
2023-09-11,-0.029118110729994706,-0.0388227822624887
2023-09-12,-0.03409264301987047,-0.044095450877501
2023-09-13,-0.028892155114057405,-0.042980849635085194
2023-09-14,-0.022354470178499675,-0.034729048760740566
2023-09-15,-0.0350579730740429,-0.046358851893678166
2023-09-18,-0.029056006713119475,-0.045799756696072946
2023-09-19,-0.03095664635560269,-0.04777846340377956
2023-09-20,-0.041077601413140874,-0.05653261022965461
2023-09-21,-0.05062594692936062,-0.0721266664842749
2023-09-22,-0.05028774837625172,-0.07421284461623057
2023-09-25,-0.04524412612596185,-0.07031983279152954
2023-09-26,-0.056856246803067445,-0.08397798129252332
2023-09-27,-0.05662552511809227,-0.08361236174651177
2023-09-28,-0.04902396131211939,-0.07829980613157339
2023-09-29,-0.055517616651431845,-0.08053659324117857
2023-10-02,-0.044135497949301494,-0.08090228050705406
2023-10-03,-0.056426721178649775,-0.09320542224825101
2023-10-04,-0.047356689589979406,-0.08660212602450024
2023-10-05,-0.041513634645836794,-0.08694634609347163
2023-10-06,-0.02602496973487689,-0.07610575025618449
2023-10-09,-0.022998613562837056,-0.0701908941703765
2023-10-10,-0.021673089967765735,-0.0653512940859704
2023-10-11,-0.015517182889634107,-0.06152268385198201
2023-10-12,-0.016592004126200877,-0.06724406428619634
2023-10-13,-0.020577641576540406,-0.0718901209991446
2023-10-16,-0.013376287248295982,-0.06212498432285185
2023-10-17,-0.018592272520673414,-0.062167986436524214
2023-10-18,-0.034020607781915846,-0.07466480698890698
2023-10-19,-0.03994197134463673,-0.0827950507072801
2023-10-20,-0.04708806772805929,-0.09406566768129121
2023-10-23,-0.043719427574346215,-0.09563588816904212
2023-10-24,-0.038784573549438206,-0.08881751365706525
2023-10-25,-0.05231815985249699,-0.10189503204368555
2023-10-26,-0.06971801396554811,-0.11264942049403559
2023-10-27,-0.07475023440000383,-0.11667164181934586
2023-10-30,-0.06197421920316015,-0.10611079674045365
