Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,ABBV,Healthcare,1,0.8429364657293923,0.0198993934119186,0.0517061877547052,-0.0952541163372295,-0.0237378150549772,13.848925675856464,0.0097657678155787,0.275998160073597,Final Score=0.843; ML Score=0.02; Momentum Score=0.052; 20D Return=-0.095; 60D Return=-0.024; RSI=13.849; Volatility=0.01
2021-05-28,ABBV,Healthcare,3,-0.6210164230595585,0.0080457963877323,0.0400299929238855,0.0152466094012753,0.0714623314086173,37.97768766127426,0.0113943766768746,-0.7309588729834129,Final Score=-0.621; ML Score=0.008; Momentum Score=0.04; 20D Return=0.015; 60D Return=0.071; RSI=37.978; Volatility=0.011
2021-06-30,ABBV,Healthcare,1,0.0723848965838016,0.0171873824101838,0.0405547107129469,0.0111310399172792,0.0688935502510177,31.781351038503033,0.0092498525842683,-0.1298510810857448,Final Score=0.072; ML Score=0.017; Momentum Score=0.041; 20D Return=0.011; 60D Return=0.069; RSI=31.781; Volatility=0.009
2021-06-30,UNH,Healthcare,2,-0.0886641556170951,0.0136951886479708,0.0628343801108437,-0.0133300568701469,0.0989928034898099,48.90921703049348,0.0098653460191915,0.1695135838620465,Final Score=-0.089; ML Score=0.014; Momentum Score=0.063; 20D Return=-0.013; 60D Return=0.099; RSI=48.909; Volatility=0.01
2021-06-30,PFE,Healthcare,3,-0.1979115326721715,0.0131602579158696,0.0480436556096499,0.0095385131000771,0.0862690894915299,31.730763058690417,0.0111999149725193,0.463710510725652,Final Score=-0.198; ML Score=0.013; Momentum Score=0.048; 20D Return=0.01; 60D Return=0.086; RSI=31.731; Volatility=0.011
2021-07-30,PFE,Healthcare,1,-0.105248206557378,0.0077332916798967,0.1221264835630423,0.0821536877446682,0.0710532916150341,80.19812301333107,0.0103549629305964,-0.1465345510942616,Final Score=-0.105; ML Score=0.008; Momentum Score=0.122; 20D Return=0.082; 60D Return=0.071; RSI=80.198; Volatility=0.01
2021-07-30,UNH,Healthcare,2,-0.2534687795989592,0.008355891996898,0.0962817602411119,0.0181036486627861,-0.0006787849195075,45.84239538396744,0.0094238999180183,0.1670944719213674,Final Score=-0.253; ML Score=0.008; Momentum Score=0.096; 20D Return=0.018; 60D Return=-0.001; RSI=45.842; Volatility=0.009
2021-07-30,ABBV,Healthcare,3,-0.5219153526980627,0.0130022059556994,0.0335098086261283,0.0178540248327239,0.0044913135078898,43.49955141031675,0.008132672244204,0.9466344285652606,Final Score=-0.522; ML Score=0.013; Momentum Score=0.034; 20D Return=0.018; 60D Return=0.004; RSI=43.5; Volatility=0.008
2021-08-31,PFE,Healthcare,1,-0.0246188397742778,0.0111805031438324,0.1635700928294631,0.0085376398214307,0.1815849631077992,48.92856327854357,0.0223427860000324,0.3403920168849712,Final Score=-0.025; ML Score=0.011; Momentum Score=0.164; 20D Return=0.009; 60D Return=0.182; RSI=48.929; Volatility=0.022
2021-08-31,UNH,Healthcare,2,-0.1348215406213481,0.0146283249733004,0.0694245258889361,-0.0133444061726956,0.0400249569360946,58.247921281042096,0.0115120162084483,2.308752530758449,Final Score=-0.135; ML Score=0.015; Momentum Score=0.069; 20D Return=-0.013; 60D Return=0.04; RSI=58.248; Volatility=0.012
2021-08-31,ABBV,Healthcare,3,-0.1948878714284234,0.013777138515279,0.0716870749980752,0.0389677314348118,0.0687549464312007,76.26486709869619,0.0091525112980261,0.8466680977644208,Final Score=-0.195; ML Score=0.014; Momentum Score=0.072; 20D Return=0.039; 60D Return=0.069; RSI=76.265; Volatility=0.009
2021-09-30,PFE,Healthcare,1,0.6934670070581718,0.0239338672129029,0.0679169891660829,-0.0658123921316484,0.0930114355612781,24.7058568336208,0.0093588109804184,0.169987581221032,Final Score=0.693; ML Score=0.024; Momentum Score=0.068; 20D Return=-0.066; 60D Return=0.093; RSI=24.706; Volatility=0.009
2021-09-30,ABBV,Healthcare,2,0.1106016054231385,0.0181507459035042,-0.031172286204437,-0.0391911822218452,-0.0760599336481196,55.26084305165054,0.0112701158665563,0.257778982791343,Final Score=0.111; ML Score=0.018; Momentum Score=-0.031; 20D Return=-0.039; 60D Return=-0.076; RSI=55.261; Volatility=0.011
2021-09-30,UNH,Healthcare,3,0.0575070150418345,0.0190636296546875,-0.0209035659849665,-0.0637594716185064,-0.0508186689054823,37.93291274944091,0.0128136058936801,0.8382045421387929,Final Score=0.058; ML Score=0.019; Momentum Score=-0.021; 20D Return=-0.064; 60D Return=-0.051; RSI=37.933; Volatility=0.013
2021-10-29,MRK,Healthcare,1,0.4065870671203429,0.0234821600270423,0.1454915742547004,0.0816953489093574,0.1648367154057053,76.81640411423135,0.0192897118794424,-0.352666983195112,Final Score=0.407; ML Score=0.023; Momentum Score=0.145; 20D Return=0.082; 60D Return=0.165; RSI=76.816; Volatility=0.019
2021-10-29,UNH,Healthcare,2,-0.2155410103917081,0.0111416302052292,0.1158684880377354,0.1733812649766943,0.1198472688701111,90.39020985049147,0.0137672474418657,0.4933636254932441,Final Score=-0.216; ML Score=0.011; Momentum Score=0.116; 20D Return=0.173; 60D Return=0.12; RSI=90.39; Volatility=0.014
2021-10-29,PFE,Healthcare,3,-0.4464549960242596,0.0120626486268791,0.0360481169782909,0.0188679563832512,-0.0292942666354786,67.28395158631733,0.0101376113085684,0.6815639668431039,Final Score=-0.446; ML Score=0.012; Momentum Score=0.036; 20D Return=0.019; 60D Return=-0.029; RSI=67.284; Volatility=0.01
2021-11-30,PFE,Healthcare,1,0.5398886134115632,0.0295905243051161,0.210061786087637,0.2312099059052983,0.1470964852092933,75.45525660851496,0.0328223288178063,-0.110959416907053,Final Score=0.54; ML Score=0.03; Momentum Score=0.21; 20D Return=0.231; 60D Return=0.147; RSI=75.455; Volatility=0.033
2021-11-30,UNH,Healthcare,2,-0.2181070781808491,0.0129254761514219,0.0503382755009461,-0.0217788299088,0.0505132114862607,36.35992171874664,0.0134053971863974,0.8225359707821653,Final Score=-0.218; ML Score=0.013; Momentum Score=0.05; 20D Return=-0.022; 60D Return=0.051; RSI=36.36; Volatility=0.013
2021-11-30,ABBV,Healthcare,3,-0.3815095974871242,0.0103289351156188,0.0072852137114997,0.0040937307786568,0.0327897862628114,48.66611980066117,0.0102793589235283,0.8689765580331619,Final Score=-0.382; ML Score=0.01; Momentum Score=0.007; 20D Return=0.004; 60D Return=0.033; RSI=48.666; Volatility=0.01
2021-12-31,PFE,Healthcare,1,1.4290660106262758,0.0319008425801351,0.3163641584252855,0.1133106752977786,0.4052831650112556,66.61367464936421,0.0272174619067616,0.163711877519443,Final Score=1.429; ML Score=0.032; Momentum Score=0.316; 20D Return=0.113; 60D Return=0.405; RSI=66.614; Volatility=0.027
2021-12-31,UNH,Healthcare,2,0.6807121262702134,0.0290885058622602,0.1792190739964893,0.125824014656539,0.2736588830651554,72.87166310228804,0.0099763604736245,0.2943960910062604,Final Score=0.681; ML Score=0.029; Momentum Score=0.179; 20D Return=0.126; 60D Return=0.274; RSI=72.872; Volatility=0.01
