Date,Strategy_Drawdown,SPY_Drawdown
2020-07-28,-0.02412138224341387,-0.04096409325095307
2020-07-29,-0.006820208687481566,-0.02916934799344717
2020-07-30,-0.010866832123140546,-0.03263279969995525
2020-07-31,0.0,-0.024988550899149864
2020-08-03,0.0,-0.018210387098048564
2020-08-04,-0.0013966539590232196,-0.01441787244122561
2020-08-05,0.0,-0.008296452752719952
2020-08-06,0.0,-0.001667522059259685
2020-08-07,-0.0019016301631124,-0.0009509662646327577
2020-08-10,-0.0034713659632050753,0.0
2020-08-11,-0.01397214602246899,-0.008254583636216672
2020-08-12,0.0,0.0
2020-08-13,0.0,-0.0018078173407062303
2020-08-14,0.0,-0.0017780396818649624
2020-08-17,0.0,0.0
2020-08-18,0.0,0.0
2020-08-19,-0.0013470968618007895,-0.004163664071233475
2020-08-20,0.0,-0.0010631213152015873
2020-08-21,0.0,0.0
2020-08-24,0.0,0.0
2020-08-25,0.0,0.0
2020-08-26,0.0,0.0
2020-08-27,-0.0003135661029403103,0.0
2020-08-28,0.0,0.0
2020-08-31,-0.0005526415685401798,-0.003622671224107088
2020-09-01,0.0,0.0
2020-09-02,0.0,0.0
2020-09-03,-0.037266137021007784,-0.03441413690030659
2020-09-04,-0.03800888667948277,-0.042298207309811375
2020-09-08,-0.0738027797735259,-0.06846512291502405
2020-09-09,-0.05455739292623274,-0.0500700058806417
2020-09-10,-0.07380520327482354,-0.06656407885160764
2020-09-11,-0.07265512811975339,-0.06608911815137142
2020-09-14,-0.058031752677617954,-0.05378800563447528
2020-09-15,-0.05881281689241136,-0.04900762783188373
2020-09-16,-0.06887372201089104,-0.05278153249304085
2020-09-17,-0.08029978400619997,-0.06111265735152305
2020-09-18,-0.08662521239242993,-0.07192170947411691
2020-09-21,-0.09296217521335692,-0.08225108825139427
2020-09-22,-0.09060877492778685,-0.07290424977092835
2020-09-23,-0.11181178144530857,-0.09440453788911207
2020-09-24,-0.10510907658021318,-0.09199055475040185
2020-09-25,-0.09104977746384146,-0.07731094254010484
2020-09-28,-0.07659231675247424,-0.06198560554901966
2020-09-29,-0.0791783288870358,-0.0670940204111129
2020-09-30,-0.06695096466407158,-0.06002098697942382
2020-10-01,-0.06298808673516065,-0.05398602913264805
2020-10-02,-0.07782448409402587,-0.06296805344102563
2020-10-05,-0.0587554809789097,-0.04635154410278086
2020-10-06,-0.07481324168491799,-0.05990862273594377
2020-10-07,-0.06220906226542833,-0.043544840540723495
2020-10-08,-0.05724963422292195,-0.03506817811358942
2020-10-09,-0.048728520938168596,-0.026450875572494148
2020-10-12,-0.024566953612286335,-0.010789185089413067
2020-10-13,-0.027526447147952715,-0.017244677205989434
2020-10-14,-0.03658415074654431,-0.023419905547504283
2020-10-15,-0.04154950833475157,-0.024626804712053918
2020-10-16,-0.035782473981121554,-0.02521634737110212
2020-10-19,-0.05427751616234955,-0.04003613767133263
2020-10-20,-0.048033566418286266,-0.03619089650033469
2020-10-21,-0.04763589636299159,-0.0380154293848024
2020-10-22,-0.04281467572088371,-0.03273846815748915
2020-10-23,-0.0337213111737128,-0.029454308965447096
2020-10-26,-0.05378170036445962,-0.04739017411652724
2020-10-27,-0.05431996051323762,-0.05067414849895813
2020-10-28,-0.0970343446753279,-0.0831208946855041
2020-10-29,-0.0812041437989206,-0.07380260928993587
2020-10-30,-0.08862469806343454,-0.08345798741594435
2020-11-02,-0.08105459840238893,-0.07318479076040696
2020-11-03,-0.060338236718423977,-0.056821100969992155
2020-11-04,-0.031855692632340116,-0.035741716740831264
2020-11-05,-0.009401474078873595,-0.01693604515564151
2020-11-06,-0.00818119436132203,-0.017160404023379483
